pageid,title,date,primary_category,entity,entity_type,expected_label,is_correct,error_type,comments,context
30932,Free Software Foundation releases first draft of GPLv3,2006-01-16,Economy and business,Digital,ORG,ORG,Yes,,No obvious issue detected automatically.,"ly the Apache Software License 2.0 and the Eclipse license. A second significant change, according to Stallman, is the addition of a clause prohibiting the use of GPL software for Digital rights management (DRM), ""something for which there can never be toleration."" As of noon EST today, the license is available in draft form on the Free Software Foundation's websit"
52460,Nobel Peace Prize to Muhammad Yunus and the Grameen Bank,2006-10-14,Economy and business,IAEA,ORG,ORG,Yes,,No obvious issue detected automatically.,"nference at the bank's office in the suburbs of the Bangladeshee capital, Dhaka. In 2005, the Nobel Peace Prize was also awarded jointly to the International Atomic Energy Agency (IAEA) and Mohamed ElBaradei (محمد البرادعي) (Egypt)."
57107,Wikipedia founder Jimmy Wales to start wiki-based search engine,2006-12-24,Science and technology,Google,ORG,ORG,Yes,,No obvious issue detected automatically.," based on the idea that because automated search engines can be manipulated, a search engine based on human judgment would be better. An initial launch is expected in early 2007. ""Google is very good at many types of search,"" notes Wales in an interview with UK newspaper The Times, ""but in many instances it produces nothing but spam and useless crap.  Try searchin"
262153,IMF head remains in New York prison; charged over alleged hotel sex attack,2011-05-15,Economy and business,New York City,GPE,GPE,Yes,,No obvious issue detected automatically.,"Dominique Strauss-Kahn, the head of the International Monetary Fund, remained in jail last night after being charged with sexually attacking a chambermaid at a New York City hotel. Strauss-Kahn has agreed to undergo forensic screening before he appears in court, and has vowed to ""vigorously"" defend himself against the charges, which are likely to crea"
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,Abin,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"Brazil —
Documents of the Brazilian Agency of intelligence (Abin) say that the Workers' Party received 5 million dollars to be used by political campaign of  candidates in 2002 from the Colombian communist armed group Revolutionary Armed Forces"
723166,Study: Taste of beer causes chemical reward in male brain,2013-04-16,Science and technology,David A. Kareken,PERSON,PERSON,Yes,,No obvious issue detected automatically.," with positron emission tomography, an imaging technology using radiation to obtain three-dimensional images of, in this case, the human brain. The senior author of the study, Dr. David A. Kareken, said ""We believe this is the first experiment in humans to show that the taste of an alcoholic drink alone, without any intoxicating effect from the alcohol, can elicit this dopa"
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,the World Social Forum,ORG,ORG,Yes,,No obvious issue detected automatically.,"0] On 2001, FARC commanders were received  by the governor (at that time) of Rio Grande do Sul, Olivio Dutra (PT) [11],
[12],
[13].  FARC leaders were honored and acclaimed during the World Social Forum in Porto Alegre. Olívido Dutra is the current Minister of Cities. At that  occasion, deputies of Rio Grande do Sul Congress  protested against Olivio. [14] The Brazilian press alr"
185638,SpaceX launches first Falcon 9 rocket,2010-06-04,Science and technology,Kennedy Space Center,FAC,FAC,Yes,,No obvious issue detected automatically.,"Space Exploration Technologies, also known as SpaceX, successfully launched their Falcon 9 rocket for the first time at 1845 UTC ( 2:45 pm EDT) from Kennedy Space Center at Cape Canaveral, Florida, United States. The Falcon 9, second in the Falcon series of rockets, has a first stage that is powered by nine Merlin 1C engines, and a second stage po"
8364,Armstrong announces retirement from professional cycling,2005-04-18,Sports,French,NORP,NORP,Yes,,No obvious issue detected automatically.," he may marry his well-known girlfriend, rock-star singer Sheryl Crow. Armstrong battled with testicular cancer in 1996 before coming back to win the 1999 edition of the legendary French race. He went on to win the next five Tours de France and is now widely regarded as one of the greatest riders in the history of the sport. Asked about his chances for Tour succes"
195689,Fire strikes Slovak Academy of Sciences,2010-07-17,Science and technology,Bratislava,PERSON,PERSON,Yes,,No obvious issue detected automatically.,The Virology Institute of the Slovak Academy of Sciences (SAS) in Bratislava was severely damaged by fire. The flames reportedly reached as high as one hundred meters. The fire most likely started from the gas tank used for oxy-fuel welding during the buil
99214,Australian parliament to apologise to Stolen Generations,2008-02-12,Politics and conflicts,Government,ORG,ORG,Yes,,No obvious issue detected automatically.,"5pm AEDT (UTC+11) today, and will be read in parliament tomorrow at 9am AEDT. Opposition leader Brendan Nelson has given in-principle support to an apology, but has criticised the government for the delay in releasing the wording. He has written his speech without seeing the apology. ""If Mr Rudd wants to unify Australia, to bring our nation together, the most importan"
2854643,Technology giant Microsoft completes acquisition of GitHub,2018-10-29,Economy and business,"May 31, days",DATE,DATE,Yes,,No obvious issue detected automatically.,"opers worldwide. Technology giants including companies like Airbnb, Apple, Google, Facebook and Microsoft itself have been using GitHub for their open-source projects. However, on May 31, days before Microsoft announced plans for GitHub acquisition, desktop environment software GNOME completed moving from GitHub to GitLab, another software code sharing, hosting and vers"
47239,Nigeria hands over disputed area to Cameroon,2006-08-14,Politics and conflicts,Cameroon,ORG,ORG,Yes,,No obvious issue detected automatically.,Nigerian and Cameroonian officials held a joint ceremony to mark the formal handover of the Bakassi peninsula from Nigeria to Cameroon. Nigeria agreed to cede the resource-rich area after a long drawn 
30932,Free Software Foundation releases first draft of GPLv3,2006-01-16,Economy and business,the Apache Software License,ORG,ORG,Yes,,No obvious issue detected automatically.,"resident of the Free Software Foundation, the most significant change to the license are changes to allow GPLv3 to be compatible with other popular free software licenses, notably the Apache Software License 2.0 and the Eclipse license. A second significant change, according to Stallman, is the addition of a clause prohibiting the use of GPL software for Digital rights management (DRM"
45095,EU fines Microsoft €280.5 million,2006-07-12,Economy and business,Microsoft,ORG,ORG,Yes,,No obvious issue detected automatically.,"Microsoft was fined €280.5 million today by the European Commission for not complying to a 2004 antitrust ruling by the European Union. EU had ruled in 2004, asking Microsoft to provide its"
57107,Wikipedia founder Jimmy Wales to start wiki-based search engine,2006-12-24,Science and technology,Wales,ORG,ORG,Yes,,No obvious issue detected automatically.,"Jimmy Wales, the founder of Wikipedia, has announced that Wikia will be providing a new search engine that will be based on user input. This future search engine will differ from other search"
45095,EU fines Microsoft €280.5 million,2006-07-12,Economy and business,Microsoft,ORG,ORG,Yes,,No obvious issue detected automatically.,"Microsoft was fined €280.5 million today by the European Commission for not complying to a 2004 antitrust ruling by the European Union. EU had ruled in 2004, asking Microsoft to provide its"
142516,NASA completes successful test flight of new Ares IX rocket,2009-10-29,Science and technology,NASA Headquarters,ORG,ORG,Yes,,No obvious issue detected automatically.,"n spaceflight vehicles — vehicles that could again take humans beyond low Earth orbit,"" said Doug Cooke, associate administrator for the Exploration Systems Mission Directorate at NASA Headquarters in Washington, D.C.. The Ares I is a new rocket developed under the Constellation program, part of the Vision for Space Exploration announced in 2004 by then-president George W. B"
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,Colombia,GPE,GPE,Yes,,No obvious issue detected automatically.," —
Documents of the Brazilian Agency of intelligence (Abin) say that the Workers' Party received 5 million dollars to be used by political campaign of  candidates in 2002 from the Colombian communist armed group Revolutionary Armed Forces of Colombia (FARC-EP). The information was reported by the Brazilian magazine Veja that circulates this week in a headline story "
2880582,Kurds announce deal with Assad's government as Turkey invades Syria's northeast,2019-10-15,Politics and conflicts,the European Union,ORG,ORG,Yes,,No obvious issue detected automatically.,"itant organization in Turkey; YPG is the main fighting force of the SDF, largely Kurdish and, according to Turkey, supportive of the PKK. The operation was condemned by members of the European Union. Erdoğan cited Article 5 of the NATO treaty and said, ""They need to stand by us"", while addressing the press yesterday. NATO Secretary-General Jens Stoltenberg wrote, ""I count on "
203416,Two time Tour de France winner Laurent Fignon dies at age 50,2010-08-31,Sports,Milan,GPE,GPE,Yes,,No obvious issue detected automatically.," for the 1989 race. Fignon lost out to Greg LeMond in the final time-trail stage by just eight seconds. In his career Fignon won 76 races including the La Flèche Wallonne in 1986, Milan-San Remo in both 1988 and 1989 and the Giro d'Italia in 1989. Fignon stayed in cycling even after his retirment managing races. In 2006 he joined the television station France 2 a"
2845310,Spanish Football Federation sacks Lopetegui as team's head coach one day before FIFA World Cup,2018-06-13,Sports,Krasnodar,ORG,ORG,Yes,,No obvious issue detected automatically.,"gui to coach the first team for the next three seasons. To manage the national team, Lopetegui should not have a contract with any football club. Speaking at a press conference at Krasnodar, RFEF's head Luis Rubiales said, ""I found out five minutes before Real Madrid made the announcement [about Lopetegui]. I asked that nothing was to be done until the team arrives a"
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,Fernando Morais,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"participants of the Foro de São Paulo. The America Libre magazine publishing  conseaul is formed by  PT members and other  Brazilian  personalities:  Luis Eduardo Greenhalgh (PT), Fernando Morais, Emir Sader, Roberto Drummond, Gilberto Carvalho, Leonardo Boff, Rubens Paolucci Jr, João Pedro Stédile (MST leader), Chico Buarque de Hollanda (singer), etc. Also  part of the pu"
2880582,Kurds announce deal with Assad's government as Turkey invades Syria's northeast,2019-10-15,Politics and conflicts,Donald Trump,PERSON,PERSON,Yes,,No obvious issue detected automatically.,"g to state media. The SDF said hundreds of ISIS (Islamic State of Iraq and Syria) fighters escaped following Turkish airstrikes from a camp at Ain Issa. On October 6, US President Donald Trump and Turkish President Recep Tayyip Erdoğan spoke on the phone. Then both nations issued statements speaking of an imminent incursion into northeast Syria, and the US statement spo"
